21,129
61,129
102,129
140,127
180,128
221,129
262,127
303,128
340,129
381,128
422,131
462,126
500,127
541,129
581,126
622,128
660,126
700,121
741,125
782,131
824,127
863,124
901,130
942,126
982,122
1024,122
1061,124
1101,131
1142,125
1184,125
1220,123
1261,130
1302,125
1344,126
1384,123
1425,124
1462,124
1502,126
1544,125
1585,121
1621,125
1663,122
1704,125
1745,123
1785,123
1823,121
1864,126
1904,126
1945,122
1983,129
2023,124
2064,128
2105,125
2146,126
2183,127
2224,128
2265,127
2305,124
2346,124
2384,128
2424,127
2465,126
2506,128
2543,129
2584,130
2625,126
2667,125
2707,128
2744,128
2785,129
2825,131
2867,137
2908,130
2944,137
2985,137
3027,134
3068,138
3104,138
3145,140
3187,134
3227,138
3268,135
3309,138
3345,134
3387,134
3428,132
3469,136
3506,137
3547,137
3588,139
3628,138
3666,134
3707,134
3747,135
3788,132
3829,134
3866,133
3907,132
3948,134
3989,133
4029,136
4067,134
4108,136
4148,135
4189,134
4227,134
4267,137
4308,138
4350,138
4391,140
4427,138
4468,141
4510,138
4550,137
4591,138
4628,138
4668,136
4710,136
4751,139
4792,135
4828,136
4870,138
4911,140
4952,144
4988,144
5030,145
5071,142
5111,141
5149,142
5190,144
5230,144
5271,145
5312,144
5354,145
5390,142
5431,144
5472,146
5512,143
5550,146
5591,142
5631,144
5672,140
5710,143
5750,145
5791,144
5832,140
5874,140
5914,139
5951,139
5993,140
6033,138
6074,137
6111,138
6151,136
6193,138
6234,135
6275,136
6311,136
6353,135
6394,139
6434,138
6471,137
6513,139
6553,137
6594,138
6635,136
6671,135
6713,133
6754,137
6795,142
6835,139
6873,138
6914,137
6954,138
6995,135
7033,135
7073,133
7114,132
7155,131
7197,125
7233,117
7274,96
7315,90
7355,89
7397,89
7434,89
7474,91
7515,92
7557,93
7593,96
7634,101
7676,112
7717,127
7753,132
7798,134
7836,135
7876,136
7917,135
7958,137
7994,130
8036,135
8077,134
8118,134
8154,135
8196,131
8237,135
8277,136
8318,134
8356,132
8396,133
8437,135
8478,133
8519,134
8556,132
8597,135
8638,136
8678,135
8716,134
8757,133
8797,133
8838,130
8880,132
8916,129
8957,131
8998,131
9040,132
9080,135
9117,138
9158,137
9198,138
9240,140
9277,137
9317,137
9358,140
9400,142
9441,137
9477,137
9519,137
9560,139
9600,135
9637,138
9679,139
9719,138
9760,137
9801,138
9842,139
9879,135
9920,139
9961,138
10001,137
10039,137
10080,134
10120,136
10161,132
10199,132
10239,134
10280,132
10321,131
10363,129
10403,132
10440,132
10481,134
10521,134
10563,133
10600,132
10640,134
10681,133
10723,132
10759,134
10800,132
10841,131
10883,131
10923,131
10960,132
11001,130
11041,131
11083,132
11124,132
11160,129
11202,129
11243,129
11284,127
11324,128
11362,129
11403,127
11443,129
11484,130
11522,130
11562,128
